Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100USB
Power Meter SN,P2000216
Sensor,S121C
Sensor SN,09072425
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto

Start of Measurement,5/18/2026 15:44:04
Elapsed Time,00:00:10:000
Samples,3714

--Statistics--
Minimum [W],0.20168
Maximum [W],0.21034
Mean [W],0.20724
Standard Deviation [W],0.0012666
Ratio,1.043 : 1

--Graph Data--
Time (ms),Power (W)
6.689,0.20694
9.300,0.20691
12.007,0.20678
14.648,0.20688
17.306,0.20648
20.007,0.20629
22.649,0.20622
25.427,0.20625
28.108,0.20658
30.673,0.20668
33.329,0.20619
36.393,0.20652
39.016,0.20635
41.638,0.20622
44.353,0.20593
47.054,0.20567
49.672,0.20606
52.319,0.20619
54.989,0.20619
57.626,0.20629
60.344,0.20616
62.987,0.20606
65.650,0.20589
68.323,0.20583
70.996,0.20567
74.326,0.20563
77.072,0.20589
79.633,0.20589
82.341,0.20573
85.079,0.20563
87.703,0.20547
90.338,0.20554
92.960,0.20563
95.614,0.2056
98.284,0.20599
100.964,0.20622
103.741,0.20625
106.618,0.20612
109.287,0.20596
111.975,0.20583
114.643,0.20586
117.305,0.2058
120.149,0.20576
122.962,0.20576
125.640,0.2056
128.289,0.20554
130.990,0.20573
133.651,0.20563
136.321,0.2055
138.963,0.20573
141.631,0.20599
144.283,0.20586
146.991,0.20596
149.621,0.20586
152.281,0.20586
154.920,0.20586
157.594,0.20635
160.244,0.20635
162.918,0.20629
165.619,0.20612
168.304,0.20586
170.961,0.20589
173.672,0.20573
176.312,0.20573
178.959,0.20563
181.633,0.2056
184.293,0.20557
186.976,0.2055
189.651,0.20563
192.291,0.20554
194.969,0.20554
197.650,0.2056
200.287,0.20547
202.966,0.20567
205.632,0.20603
208.298,0.20573
210.964,0.20573
213.674,0.20586
216.289,0.20619
218.992,0.20616
221.626,0.20586
224.303,0.20593
227.016,0.20567
229.639,0.20573
232.296,0.20576
234.977,0.20616
237.574,0.20596
240.296,0.2058
242.952,0.2056
245.618,0.2057
248.290,0.20567
250.953,0.20586
253.657,0.20586
256.289,0.20576
258.959,0.2057
261.682,0.20576
264.284,0.20563
266.976,0.20563
269.611,0.20567
272.283,0.20609
274.970,0.20583
277.611,0.20589
280.388,0.20589
282.971,0.20586
