Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100USB
Power Meter SN,P2000216
Sensor,S121C
Sensor SN,09072425
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto

Start of Measurement,5/18/2026 16:14:26
Elapsed Time,00:00:10:000
Samples,3738

--Statistics--
Minimum [W],0.14725
Maximum [W],0.1654
Mean [W],0.15807
Standard Deviation [W],0.0042216
Ratio,1.123 : 1

--Graph Data--
Time (ms),Power (W)
891.568,0.16082
894.250,0.16072
896.927,0.16079
899.605,0.16075
902.258,0.16098
904.923,0.16111
907.591,0.16124
910.267,0.16105
912.945,0.16121
915.600,0.16151
918.292,0.16124
920.945,0.16131
923.694,0.16138
926.273,0.16115
928.933,0.16118
931.583,0.16111
934.273,0.16105
936.896,0.16111
939.551,0.16108
942.226,0.16108
944.870,0.16102
947.551,0.16082
950.234,0.16075
952.871,0.16085
955.549,0.16092
958.218,0.16092
960.866,0.16098
963.541,0.16108
966.216,0.16105
968.899,0.16111
971.546,0.16128
974.217,0.16118
976.896,0.16128
979.542,0.16134
982.217,0.16147
984.934,0.16144
987.560,0.16157
990.222,0.16154
992.872,0.1617
995.570,0.16183
998.222,0.1619
1000.908,0.16196
1003.582,0.16209
1006.262,0.16216
1008.899,0.16206
1011.581,0.16209
1014.223,0.16219
1016.917,0.16219
1019.596,0.16226
1022.259,0.16216
1024.900,0.162
1027.585,0.162
1030.257,0.16193
1032.915,0.16209
1035.604,0.16213
1038.267,0.16209
1040.886,0.16222
1043.545,0.16242
1046.194,0.16249
1048.871,0.16242
1051.681,0.16245
1054.264,0.16252
1056.897,0.16245
1059.547,0.16249
1062.196,0.16265
1064.878,0.16242
1067.657,0.16258
1070.246,0.16265
1072.885,0.16262
1075.547,0.16294
1078.222,0.16288
1080.870,0.16288
1083.583,0.16278
1087.500,0.16321
1090.200,0.16324
1092.872,0.16324
1095.544,0.16337
1098.228,0.16337
1100.975,0.1634
1103.571,0.1636
1106.202,0.1634
1108.872,0.16353
1111.545,0.16376
1114.228,0.1636
1116.914,0.16379
1119.581,0.16347
1122.233,0.16343
1124.911,0.16343
1127.578,0.1635
1130.235,0.1634
1132.907,0.1635
1135.614,0.16357
1138.244,0.16347
1140.917,0.1634
1143.594,0.16366
1146.266,0.1635
1148.923,0.16327
